,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,48240000,46270000,50220000,1975000.0
2017-06-16,53250000,49420000,57100000,3840000.0
2017-06-28,64040000,63580000,64510000,465000.0
2017-07-10,67550000,67370000,67730000,180000.0
2017-07-22,67570000,67020000,68120000,550000.0
2017-08-03,67180000,66240000,68110000,935000.0
2017-08-15,67600000,67170000,68030000,430000.0
2017-08-27,67310000,66800000,67820000,510000.0
2017-09-08,66300000,64940000,67660000,1360000.0
2017-09-20,64600000,61870000,67330000,2730000.0
2017-10-02,61700000,57760000,65650000,3945000.0
2017-10-14,66700000,66570000,66840000,135000.0
2017-10-26,17420000,40000,34830000,17395000.0
2017-11-07,7920000,20000,15850000,7915000.0
2017-11-19,2690000,10000,5390000,2690000.0
2017-12-01,680000,20000,1370000,675000.0
2017-12-13,220000,20000,450000,215000.0
2017-12-25,30000,10000,70000,30000.0
2018-01-06,10000,10000,30000,10000.0
2018-01-18,0,0,10000,5000.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,10000,5000.0
2018-03-31,0,0,10000,5000.0
2018-04-12,0,0,10000,5000.0
2018-04-24,660000,170000,1150000,490000.0
2018-05-06,7210000,5390000,9060000,1835000.0
2018-05-18,28600000,27020000,30170000,1575000.0
2018-05-30,36460000,34750000,38170000,1710000.0
2018-06-11,51820000,50790000,52840000,1025000.0
2018-06-23,57480000,56780000,58170000,695000.0
2018-07-05,66740000,66340000,67150000,405000.0
2018-07-17,62090000,61490000,62680000,595000.0
2018-07-29,67750000,67380000,68120000,370000.0
2018-08-10,67950000,67780000,68120000,170000.0
2018-08-22,68050000,67980000,68120000,70000.0
2018-09-03,67790000,67620000,67960000,170000.0
2018-09-15,67320000,66820000,67820000,500000.0
2018-09-27,66250000,64850000,67650000,1400000.0
2018-10-09,66820000,66140000,67500000,680000.0
2018-10-21,67070000,66860000,67280000,210000.0
2018-11-02,66900000,66710000,67090000,190000.0
2018-11-14,66620000,66390000,66850000,230000.0
2018-11-26,65230000,63960000,66490000,1265000.0
2018-12-08,66160000,66020000,66310000,145000.0
2018-12-20,5260000,40000,10490000,5225000.0
2019-01-01,1800000,10000,3600000,1795000.0
2019-01-13,190000,40000,390000,175000.0
2019-01-25,130000,20000,270000,125000.0
2019-02-06,30000,10000,70000,30000.0
2019-02-18,10000,10000,30000,10000.0
2019-03-02,0,0,10000,5000.0
2019-03-14,20000,0,50000,25000.0
2019-03-26,130000,20000,270000,125000.0
2019-04-07,0,0,10000,5000.0
2019-04-19,1640000,70000,3220000,1575000.0
2019-05-01,3910000,410000,7410000,3500000.0
2019-05-13,27910000,25930000,29920000,1995000.0
2019-05-25,49020000,47070000,50960000,1945000.0
2019-06-06,54490000,53580000,55430000,925000.0
2019-06-18,61220000,60810000,61650000,420000.0
2019-06-30,67900000,67680000,68110000,215000.0
2019-07-12,67550000,66980000,68110000,565000.0
2019-07-24,67640000,67160000,68120000,480000.0
2019-08-05,67420000,66720000,68110000,695000.0
2019-08-17,67830000,67540000,68110000,285000.0
2019-08-29,67280000,66440000,68110000,835000.0
2019-09-10,66830000,65540000,68100000,1280000.0
2019-09-22,63510000,59290000,67730000,4220000.0
2019-10-04,56040000,49650000,62470000,6410000.0
2019-10-16,67710000,67630000,67800000,85000.0
2019-10-28,43930000,38940000,48940000,5000000.0
2019-11-09,67280000,67110000,67440000,165000.0
2019-11-21,67080000,66950000,67220000,135000.0
2019-12-03,2090000,10000,4190000,2090000.0
2019-12-15,1260000,0,2530000,1265000.0
2019-12-27,710000,20000,1430000,705000.0
2020-01-08,110000,0,230000,115000.0
2020-01-20,150000,0,310000,155000.0
2020-02-01,50000,0,110000,55000.0
2020-02-13,30000,10000,70000,30000.0
2020-02-25,0,0,10000,5000.0
2020-03-08,20000,0,50000,25000.0
2020-03-20,30000,10000,70000,30000.0
2020-04-01,0,0,0,0.0
2020-04-13,6230000,5940000,6530000,295000.0
2020-04-25,25370000,23430000,27340000,1955000.0
2020-05-07,21450000,16810000,26110000,4650000.0
2020-05-19,44760000,42170000,47320000,2575000.0
2020-05-31,49320000,47970000,50680000,1355000.0
2020-06-12,51810000,50020000,53630000,1805000.0
2020-06-24,57480000,56620000,58320000,850000.0
2020-07-06,67820000,67580000,68060000,240000.0
2020-07-18,60300000,59580000,61010000,715000.0
2020-07-30,67800000,67520000,68080000,280000.0
2020-08-11,62790000,62060000,63520000,730000.0
2020-08-23,61170000,60450000,61880000,715000.0
2020-09-04,60440000,59840000,61050000,605000.0
2020-09-16,58990000,58040000,59950000,955000.0
2020-09-28,57540000,56170000,58880000,1355000.0
2020-10-10,56140000,54110000,58170000,2030000.0
2020-10-22,55620000,54120000,57090000,1485000.0
2020-11-03,54160000,52420000,55900000,1740000.0
2020-11-15,14120000,10000,28250000,14120000.0
2020-11-27,8220000,40000,16450000,8205000.0
2020-12-09,3380000,0,6770000,3385000.0
2020-12-21,950000,0,1910000,955000.0
2021-01-02,120000,10000,250000,120000.0
2021-01-14,30000,10000,70000,30000.0
2021-01-26,0,0,10000,5000.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,10000,5000.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,0,0.0
2021-03-27,0,0,10000,5000.0
2021-04-08,0,0,0,0.0
2021-04-20,14680000,8820000,20560000,5870000.0
2021-05-02,29030000,24500000,33570000,4535000.0
2021-05-14,29500000,25560000,33450000,3945000.0
2021-05-26,35230000,32650000,37800000,2575000.0
2021-06-07,38840000,37500000,40180000,1340000.0
2021-06-19,58320000,57880000,58760000,440000.0
2021-07-01,61690000,61240000,62120000,440000.0
2021-07-13,62610000,62050000,63180000,565000.0
2021-07-25,67720000,67320000,68110000,395000.0
2021-08-06,67710000,67300000,68120000,410000.0
2021-08-18,67810000,67510000,68100000,295000.0
2021-08-30,67520000,67100000,67930000,415000.0
2021-09-11,67350000,67020000,67680000,330000.0
2021-09-23,66340000,65350000,67330000,990000.0
2021-10-05,65640000,64670000,66600000,965000.0
2021-10-17,63750000,61620000,65880000,2130000.0
2021-10-29,61230000,59040000,63410000,2185000.0
2021-11-10,16990000,30000,33970000,16970000.0
2021-11-22,11170000,50000,22350000,11150000.0
2021-12-16,3580000,0,7170000,3585000.0
2021-12-28,990000,0,1990000,995000.0
2022-01-09,280000,10000,570000,280000.0
2022-01-21,10000,10000,30000,10000.0
2022-02-02,0,0,10000,5000.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,0,0.0
2022-03-10,0,0,10000,5000.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,2980000,920000,5030000,2055000.0
2022-05-09,16690000,12790000,20630000,3920000.0
2022-05-21,29410000,24920000,33910000,4495000.0
2022-06-02,49620000,46820000,52400000,2790000.0
2022-06-14,56640000,55760000,57520000,880000.0
2022-06-26,62780000,61480000,64100000,1310000.0
2022-07-08,67740000,67360000,68120000,380000.0
2022-07-20,67610000,67100000,68120000,510000.0
2022-08-01,67690000,67260000,68110000,425000.0
2022-08-13,67780000,67460000,68100000,320000.0
2022-08-25,67740000,67510000,67970000,230000.0
2022-09-06,67400000,66930000,67860000,465000.0
2022-09-18,66820000,65910000,67730000,910000.0
2022-09-30,64910000,62300000,67510000,2605000.0
2022-10-12,65310000,63290000,67330000,2020000.0
2022-10-24,63700000,60310000,67080000,3385000.0
2022-11-05,65820000,64760000,66850000,1045000.0
2022-11-17,65770000,64980000,66560000,790000.0
2022-11-29,63230000,60500000,65970000,2735000.0
2022-12-11,59920000,56630000,63210000,3290000.0
2022-12-23,56970000,54910000,59020000,2055000.0
2023-01-04,10340000,0,20690000,10345000.0
2023-01-16,3920000,0,7850000,3925000.0
2023-01-28,1170000,0,2350000,1175000.0
2023-02-09,40000,20000,90000,35000.0
2023-02-21,0,0,0,0.0
2023-03-05,0,0,10000,5000.0
2023-03-17,0,0,10000,5000.0
2023-03-29,0,0,0,0.0
2023-04-10,0,0,10000,5000.0
2023-04-22,10000,10000,30000,10000.0
2023-05-04,3290000,2270000,4330000,1030000.0
2023-05-16,24970000,20850000,29090000,4120000.0
2023-05-28,40650000,38940000,42360000,1710000.0
2023-06-09,54180000,53260000,55090000,915000.0
2023-06-21,59320000,58810000,59840000,515000.0
2023-07-03,65510000,64950000,66070000,560000.0
2023-07-15,67270000,66420000,68120000,850000.0
2023-07-27,67720000,67320000,68110000,395000.0
2023-08-08,67750000,67380000,68120000,370000.0
2023-09-01,68030000,67940000,68120000,90000.0
2023-09-13,67940000,67760000,68120000,180000.0
2023-09-25,67630000,67140000,68110000,485000.0
2023-10-07,65960000,63800000,68120000,2160000.0
2023-10-19,67240000,66400000,68080000,840000.0
2023-10-31,66430000,64870000,67970000,1550000.0
2023-11-12,67900000,67890000,67910000,10000.0
2023-11-24,67770000,67760000,67790000,15000.0
2023-12-06,67680000,67640000,67720000,40000.0
2023-12-18,67550000,67510000,67590000,40000.0
2023-12-30,67300000,67190000,67420000,115000.0
2024-01-11,66980000,66820000,67120000,150000.0
2024-02-16,580000,20000,1150000,565000.0
2024-02-28,300000,60000,580000,260000.0
2024-03-11,310000,60000,610000,275000.0
2024-03-23,180000,40000,360000,160000.0
2024-04-04,90000,20000,190000,85000.0
2024-04-16,30000,10000,70000,30000.0
2024-04-28,6270000,1670000,10900000,4615000.0
2024-05-10,24420000,22320000,26520000,2100000.0
2024-05-22,36510000,33650000,39350000,2850000.0
2024-06-03,40160000,38640000,41630000,1495000.0
2024-06-15,51950000,51000000,52920000,960000.0
2024-06-27,67880000,67740000,68020000,140000.0
2024-07-09,67900000,67710000,68080000,185000.0
2024-07-21,67540000,67230000,67850000,310000.0
2024-08-02,68070000,68020000,68120000,50000.0
2024-08-14,67470000,66820000,68120000,650000.0
2024-08-26,66690000,65260000,68110000,1425000.0
2024-09-07,67930000,67760000,68100000,170000.0
2024-09-19,67290000,66600000,67980000,690000.0
2024-10-01,66340000,64780000,67900000,1560000.0
2024-10-25,66240000,64860000,67610000,1375000.0
2024-11-06,67500000,67430000,67570000,70000.0
2024-11-18,67350000,67240000,67460000,110000.0
2024-11-30,67210000,67090000,67330000,120000.0
2024-12-12,66960000,66800000,67130000,165000.0
2024-12-24,1660000,30000,3300000,1635000.0
